 estudio;yr;fecha;nombre
3118;2015;01/11/2015;BARÓMETRO DE NOVIEMBRE 2015
3114;2015;01/10/2015;BARÓMETRO DE OCTUBRE 2015
3109;2015;02/09/2015;BARÓMETRO DE SEPTIEMBRE 2015
3104;2015;01/07/2015;BARÓMETRO DE JULIO 2015
3101;2015;02/06/2015;BARÓMETRO DE JUNIO 2015
3082;2015;01/05/2015;BARÓMETRO DE MAYO 2015
3080;2015;01/04/2015;BARÓMETRO DE ABRIL 2015
3057;2015;02/03/2015;BARÓMETRO DE MARZO 2015
3052;2015;02/02/2015;BARÓMETRO DE FEBRERO 2015
3050;2015;02/01/2015;BARÓMETRO DE ENERO 2015
3047;2014;01/12/2014;BARÓMETRO DE DICIEMBRE 2014
3045;2014;04/11/2014;BARÓMETRO DE NOVIEMBRE 2014
3041;2014;01/10/2014;BARÓMETRO DE OCTUBRE 2014
3038;2014;02/09/2014;BARÓMETRO DE SEPTIEMBRE 2014
3033;2014;01/07/2014;BARÓMETRO DE JULIO 2014
3029;2014;02/06/2014;BARÓMETRO DE JUNIO 2014
3024;2014;01/05/2014;BARÓMETRO DE MAYO 2014
3021;2014;01/04/2014;BARÓMETRO DE ABRIL 2014
3017;2014;01/03/2014;BARÓMETRO DE MARZO 2014
3013;2014;01/02/2014;BARÓMETRO DE FEBRERO 2014
3011;2014;03/01/2014;BARÓMETRO DE ENERO 2014
3008;2013;01/12/2013;BARÓMETRO DE DICIEMBRE 2013
3005;2013;01/11/2013;BARÓMETRO DE NOVIEMBRE 2013
3001;2013;01/10/2013;BARÓMETRO DE OCTUBRE 2013
2997;2013;03/09/2013;BARÓMETRO DE SEPTIEMBRE 2013
2993;2013;01/07/2013;BARÓMETRO DE JULIO 2013
2990;2013;03/06/2013;BARÓMETRO DE JUNIO 2013
2987;2013;01/05/2013;BARÓMETRO DE MAYO 2013
2984;2013;01/04/2013;BARÓMETRO DE ABRIL 2013
2981;2013;01/03/2013;BARÓMETRO DE MARZO 2013
2978;2013;04/02/2013;BARÓMETRO DE FEBRERO 2013
2976;2013;04/01/2013;BARÓMETRO DE ENERO 2013
2972;2012;01/12/2012;BARÓMETRO DE DICIEMBRE 2012
2966;2012;05/11/2012;BARÓMETRO DE NOVIEMBRE 2012
2960;2012;02/10/2012;BARÓMETRO DE OCTUBRE 2012
2954;2012;03/09/2012;BARÓMETRO DE SEPTIEMBRE 2012
2951;2012;02/07/2012;BARÓMETRO DE JULIO 2012
2948;2012;02/06/2012;BARÓMETRO DE JUNIO 2012
2944;2012;03/05/2012;BARÓMETRO DE MAYO 2012
2941;2012;09/04/2012;BARÓMETRO DE ABRIL 2012
2935;2012;02/03/2012;BARÓMETRO DE MARZO 2012
2932;2012;01/02/2012;BARÓMETRO DE FEBRERO 2012
2927;2012;04/01/2012;BARÓMETRO DE ENERO 2012
2923;2011;01/12/2011;BARÓMETRO DE DICIEMBRE 2011
2917;2011;02/11/2011;BARÓMETRO DE NOVIEMBRE 2011
2914;2011;01/10/2011;BARÓMETRO DE OCTUBRE 2011
2911;2011;05/09/2011;BARÓMETRO DE SEPTIEMBRE 2011
2909;2011;04/07/2011;BARÓMETRO DE JULIO 2011
2905;2011;02/06/2011;BARÓMETRO DE JUNIO 2011
2888;2011;03/05/2011;BARÓMETRO DE MAYO 2011
2885;2011;01/04/2011;BARÓMETRO DE ABRIL 2011
2864;2011;01/03/2011;BARÓMETRO DE MARZO 2011
2861;2011;01/02/2011;BARÓMETRO DE FEBRERO 2011
2859;2011;07/01/2011;BARÓMETRO DE ENERO 2011
2856;2010;01/12/2010;BARÓMETRO DE DICIEMBRE 2010
2853;2010;03/11/2010;BARÓMETRO DE NOVIEMBRE 2010
2847;2010;04/10/2010;BARÓMETRO DE OCTUBRE 2010
2844;2010;03/09/2010;BARÓMETRO DE SEPTIEMBRE 2010
2843;2010;15/07/2010;BARÓMETRO DE JULIO 2010
2838;2010;02/06/2010;BARÓMETRO DE JUNIO 2010
2836;2010;04/05/2010;BARÓMETRO DE MAYO 2010
2834;2010;06/04/2010;BARÓMETRO DE ABRIL 2010
2831;2010;02/03/2010;BARÓMETRO DE MARZO 2010
2830;2010;05/02/2010;BARÓMETRO DE FEBRERO 2010
2828;2010;09/01/2010;BARÓMETRO DE ENERO 2010
2824;2009;01/12/2009;BARÓMETRO DE DICIEMBRE 2009
2820;2009;02/11/2009;BARÓMETRO DE NOVIEMBRE 2009
2815;2009;07/10/2009;BARÓMETRO DE OCTUBRE 2009
2812;2009;04/09/2009;BARÓMETRO DE SEPTIEMBRE 2009
2811;2009;07/07/2009;BARÓMETRO DE JULIO 2009
2806;2009;04/06/2009;BARÓMETRO DE JUNIO 2009
2801;2009;13/05/2009;BARÓMETRO DE MAYO 2009
2798;2009;14/04/2009;BARÓMETRO DE ABRIL 2009
2794;2009;04/03/2009;BARÓMETRO DE MARZO 2009
2788;2009;04/02/2009;BARÓMETRO DE FEBRERO 2009
2782;2009;09/01/2009;BARÓMETRO DE ENERO 2009
2781;2008;03/12/2008;BARÓMETRO DE DICIEMBRE 2008
2778;2008;03/11/2008;BARÓMETRO DE NOVIEMBRE 2008
2775;2008;01/10/2008;BARÓMETRO DE OCTUBRE 2008
2771;2008;05/09/2008;BARÓMETRO DE SEPTIEMBRE 2008
2769;2008;07/07/2008;BARÓMETRO DE JULIO 2008
2766;2008;18/06/2008;BARÓMETRO DE JUNIO 2008
2763;2008;22/05/2008;BARÓMETRO DE MAYO 2008
2761;2008;24/04/2008;BARÓMETRO DE ABRIL 2008
2758;2008;24/03/2008;BARÓMETRO DE MARZO 2008
2754;2008;22/02/2008;BARÓMETRO DE FEBRERO 2008
2749;2008;14/01/2008;BARÓMETRO DE ENERO 2008
2746;2007;18/12/2007;BARÓMETRO DE DICIEMBRE 2007
2742;2007;23/11/2007;BARÓMETRO DE NOVIEMBRE 2007
2735;2007;22/10/2007;BARÓMETRO DE OCTUBRE 2007
2732;2007;24/09/2007;BARÓMETRO DE SEPTIEMBRE 2007
2728;2007;06/07/2007;BARÓMETRO DE JULIO 2007
2724;2007;22/06/2007;BARÓMETRO DE JUNIO 2007
2705;2007;19/05/2007;BARÓMETRO DE MAYO 2007
2700;2007;23/04/2007;BARÓMETRO DE ABRIL 2007
2681;2007;17/03/2007;BARÓMETRO DE MARZO 2007
2677;2007;22/02/2007;BARÓMETRO DE FEBRERO 2007
2672;2007;22/01/2007;BARÓMETRO DE ENERO 2007
2666;2006;13/12/2006;BARÓMETRO DE DICIEMBRE 2006
2662;2006;18/11/2006;BARÓMETRO DE NOVIEMBRE 2006
2657;2006;18/10/2006;BARÓMETRO DE OCTUBRE 2006
2654;2006;18/09/2006;BARÓMETRO DE SEPTIEMBRE 2006
2651;2006;10/07/2006;BARÓMETRO DE JULIO 2006
2649;2006;21/06/2006;BARÓMETRO DE JUNIO 2006
2644;2006;22/05/2006;BARÓMETRO DE MAYO 2006
2640;2006;24/04/2006;BARÓMETRO DE ABRIL 2006
2636;2006;24/03/2006;BARÓMETRO DE MARZO 2006
2635;2006;20/02/2006;BARÓMETRO DE FEBRERO 2006
2633;2006;23/01/2006;BARÓMETRO DE ENERO 2006
2630;2005;16/12/2005;BARÓMETRO DE DICIEMBRE 2005
2625;2005;15/11/2005;BARÓMETRO DE NOVIEMBRE 2005
2622;2005;21/10/2005;BARÓMETRO DE OCTUBRE 2005
2618;2005;23/09/2005;BARÓMETRO DE SEPTIEMBRE 2005
2616;2005;13/07/2005;BARÓMETRO DE JULIO 2005
2612;2005;06/06/2005;BARÓMETRO DE JUNIO 2005
2607;2005;13/05/2005;BARÓMETRO DE MAYO 2005
2602;2005;27/04/2005;BARÓMETRO DE ABRIL 2005
2597;2005;29/03/2005;BARÓMETRO DE MARZO 2005
2594;2005;18/02/2005;BARÓMETRO DE FEBRERO 2005
2589;2005;19/01/2005;BARÓMETRO DE ENERO 2005
2584;2004;15/12/2004;BARÓMETRO DE DICIEMBRE 2004: EXPECTATIVAS 2005
2581;2004;19/11/2004;BARÓMETRO DE NOVIEMBRE 2004
2577;2004;21/10/2004;BARÓMETRO DE OCTUBRE 2004
2573;2004;24/09/2004;BARÓMETRO DE SEPTIEMBRE 2004
2570;2004;09/07/2004;BARÓMETRO DE JULIO 2004
2568;2004;25/06/2004;BARÓMETRO DE JUNIO 2004
2565;2004;27/05/2004;BARÓMETRO DE MAYO 2004
2561;2004;22/04/2004;BARÓMETRO DE ABRIL 2004
2558;2004;16/03/2004;BARÓMETRO DE MARZO 2004
2556;2004;20/02/2004;BARÓMETRO DE FEBRERO 2004
2554;2004;10/01/2004;BARÓMETRO DE ENERO 2004
2548;2003;10/12/2003;BARÓMETRO DE DICIEMBRE 2003: EXPECTATIVAS 2004
2545;2003;14/11/2003;BARÓMETRO DE NOVIEMBRE 2003
2541;2003;25/10/2003;BARÓMETRO DE OCTUBRE 2003
2535;2003;05/09/2003;BARÓMETRO DE SEPTIEMBRE 2003
2531;2003;02/07/2003;BARÓMETRO DE JULIO 2003
2528;2003;17/06/2003;BARÓMETRO DE JUNIO 2003
2511;2003;16/05/2003;BARÓMETRO DE MAYO 2003
2508;2003;24/04/2003;BARÓMETRO DE ABRIL 2003
2483;2003;15/03/2003;BARÓMETRO DE MARZO 2003
2481;2003;21/02/2003;BARÓMETRO DE FEBRERO 2003
2477;2003;21/01/2003;BARÓMETRO DE ENERO 2003
2474;2002;10/12/2002;BARÓMETRO DE DICIEMBRE 2002: EXPECTATIVAS 2003
2471;2002;16/11/2002;BARÓMETRO DE NOVIEMBRE 2002
2468;2002;16/10/2002;BARÓMETRO DE OCTUBRE 2002
2466;2002;24/09/2002;BARÓMETRO DE SEPTIEMBRE 2002
2463;2002;16/07/2002;BARÓMETRO DE JULIO 2002
2459;2002;26/06/2002;BARÓMETRO DE JUNIO 2002
2457;2002;20/05/2002;BARÓMETRO DE MAYO 2002
2454;2002;16/04/2002;BARÓMETRO DE ABRIL 2002
2452;2002;16/03/2002;BARÓMETRO DE MARZO 2002
2448;2002;22/02/2002;BARÓMETRO DE FEBRERO 2002
2444;2002;27/01/2002;BARÓMETRO DE ENERO 2002
2441;2001;11/12/2001;BARÓMETRO DE DICIEMBRE 2001: EXPECTATIVAS 2002
2439;2001;21/11/2001;BARÓMETRO DE NOVIEMBRE 2001
2433;2001;24/10/2001;BARÓMETRO DE OCTUBRE 2001
2429;2001;13/09/2001;BARÓMETRO DE SEPTIEMBRE 2001
2428;2001;13/07/2001;BARÓMETRO DE JULIO 2001
2423;2001;19/06/2001;BARÓMETRO DE JUNIO 2001
2419;2001;22/05/2001;BARÓMETRO DE MAYO 2001
2415;2001;20/04/2001;BARÓMETRO DE ABRIL 2001
2411;2001;19/03/2001;BARÓMETRO DE MARZO 2001
2409;2001;16/02/2001;BARÓMETRO DE FEBRERO 2001
2406;2001;18/01/2001;BARÓMETRO DE ENERO 2001
2405;2000;16/12/2000;BARÓMETRO DE DICIEMBRE 2000: EXPECTATIVAS 2001
2402;2000;23/11/2000;BARÓMETRO DE NOVIEMBRE 2000
2400;2000;17/10/2000;BARÓMETRO DE OCTUBRE 2000
2398;2000;23/09/2000;BARÓMETRO DE SEPTIEMBRE 2000
2396;2000;13/07/2000;BARÓMETRO DE JULIO 2000
2394;2000;23/06/2000;BARÓMETRO DE JUNIO 2000
2392;2000;25/05/2000;BARÓMETRO DE MAYO 2000: UNIÓN EUROPEA
2389;2000;29/04/2000;BARÓMETRO DE ABRIL 2000
2387;2000;23/03/2000;BARÓMETRO DE MARZO 2000: CULTURA POLÍTICA
2383;2000;25/02/2000;BARÓMETRO DE FEBRERO 2000
2381;2000;27/01/2000;BARÓMETRO DE ENERO 2000
2377;1999;16/12/1999;BARÓMETRO DE DICIEMBRE 1999: EXPECTATIVAS 2000
2376;1999;26/11/1999;BARÓMETRO DE NOVIEMBRE 1999
2372;1999;22/10/1999;BARÓMETRO DE OCTUBRE 1999
2369;1999;24/09/1999;BARÓMETRO DE SEPTIEMBRE 1999
2367;1999;09/07/1999;BARÓMETRO DE JULIO 1999
2364;1999;26/06/1999;BARÓMETRO DE JUNIO 1999
2339;1999;27/05/1999;BARÓMETRO DE MAYO 1999: UNIÓN EUROPEA
2324;1999;24/04/1999;BARÓMETRO DE ABRIL 1999
2322;1999;24/03/1999;BARÓMETRO DE MARZO 1999
2320;1999;24/02/1999;BARÓMETRO DE FEBRERO 1999
2316;1999;27/01/1999;BARÓMETRO DE ENERO 1999
2313;1998;18/12/1998;BARÓMETRO DE DICIEMBRE 1998: EXPECTATIVAS 1999
2311;1998;26/11/1998;BARÓMETRO DE NOVIEMBRE 1998
2307;1998;26/10/1998;BARÓMETRO DE OCTUBRE 1998
2303;1998;25/09/1998;BARÓMETRO DE SEPTIEMBRE 1998
2294;1998;09/07/1998;BARÓMETRO DE JULIO 1998
2291;1998;20/06/1998;BARÓMETRO DE JUNIO 1998
2288;1998;22/05/1998;BARÓMETRO DE MAYO 1998: UNIÓN EUROPEA
2285;1998;25/04/1998;BARÓMETRO DE ABRIL 1998
2283;1998;27/03/1998;BARÓMETRO DE MARZO 1998
2278;1998;20/02/1998;BARÓMETRO DE FEBRERO 1998
2274;1998;23/01/1998;BARÓMETRO DE ENERO 1998
2271;1997;17/12/1997;BARÓMETRO DE DICIEMBRE 1997: EXPECTATIVAS 1998
2267;1997;20/11/1997;BARÓMETRO DE NOVIEMBRE 1997
2264;1997;24/10/1997;BARÓMETRO DE OCTUBRE 1997
2259;1997;26/09/1997;BARÓMETRO DE SEPTIEMBRE 1997
2254;1997;11/07/1997;BARÓMETRO DE JULIO 1997
2252;1997;20/06/1997;BARÓMETRO DE JUNIO 1997
2248;1997;23/05/1997;BARÓMETRO DE MAYO 1997
2244;1997;23/04/1997;BARÓMETRO DE ABRIL 1997
2242;1997;19/03/1997;BARÓMETRO DE MARZO 1997
2238;1997;22/02/1997;BARÓMETRO DE FEBRERO 1997
2233;1997;23/01/1997;BARÓMETRO DE ENERO 1997
2231;1996;16/12/1996;BARÓMETRO DE DICIEMBRE 1996
2229;1996;22/11/1996;BARÓMETRO DE NOVIEMBRE 1996
2225;1996;25/10/1996;BARÓMETRO DE OCTUBRE 1996
2222;1996;27/09/1996;BARÓMETRO DE SEPTIEMBRE 1996
2220;1996;17/07/1996;BARÓMETRO DE JULIO 1996
2217;1996;22/06/1996;BARÓMETRO DE JUNIO 1996
2215;1996;28/05/1996;BARÓMETRO DE MAYO 1996
2212;1996;13/04/1996;BARÓMETRO DE ABRIL 1996
2211;1996;27/03/1996;BARÓMETRO DE MARZO 1996
2208;1996;27/02/1996;BARÓMETRO DE FEBRERO 1996
2204;1996;10/01/1996;BARÓMETRO DE ENERO 1996: UNIÓN EUROPEA
2201;1995;09/12/1995;BARÓMETRO DE DICIEMBRE 1995
2197;1995;08/11/1995;BARÓMETRO DE NOVIEMBRE 1995
2194;1995;17/10/1995;BARÓMETRO DE OCTUBRE 1995
2190;1995;13/09/1995;BARÓMETRO DE SEPTIEMBRE 1995
2188;1995;12/07/1995;BARÓMETRO DE JULIO 1995: UNIÓN EUROPEA
2184;1995;25/06/1995;BARÓMETRO DE JUNIO 1995
2181;1995;25/05/1995;BARÓMETRO DE MAYO 1995
2156;1995;19/04/1995;BARÓMETRO DE ABRIL 1995
2151;1995;19/03/1995;BARÓMETRO DE MARZO 1995
2132;1995;02/02/1995;BARÓMETRO DE FEBRERO 1995
2130;1995;12/01/1995;BARÓMETRO DE ENERO 1995
2127;1994;01/12/1994;BARÓMETRO DE DICIEMBRE 1994
2122;1994;10/11/1994;BARÓMETRO DE NOVIEMBRE 1994
2118;1994;19/10/1994;BARÓMETRO DE OCTUBRE 1994
2115;1994;20/09/1994;BARÓMETRO DE SEPTIEMBRE 1994
2110;1994;01/07/1994;BARÓMETRO DE JULIO 1994
2108;1994;16/06/1994;BARÓMETRO DE JUNIO 1994: POSTELECTORAL PARLAMENTO EUROPEO 1994
2100;1994;12/05/1994;BARÓMETRO DE MAYO 1994
2087;1994;06/04/1994;BARÓMETRO DE ABRIL 1994
2085;1994;18/03/1994;BARÓMETRO DE MARZO 1994
2083;1994;22/02/1994;BARÓMETRO DE FEBRERO 1994
2077;1994;12/01/1994;BARÓMETRO DE ENERO 1994
2076;1993;16/12/1993;BARÓMETRO DE DICIEMBRE 1993
2073;1993;26/11/1993;BARÓMETRO DE NOVIEMBRE 1993
2068;1993;13/10/1993;BARÓMETRO DE OCTUBRE 1993
2066;1993;21/09/1993;BARÓMETRO DE SEPTIEMBRE 1993
2065;1993;19/07/1993;BARÓMETRO DE JULIO 1993
2062;1993;25/06/1993;BARÓMETRO DE JUNIO 1993
2059;1993;15/05/1993;BARÓMETRO DE MAYO 1993
2055;1993;23/04/1993;BARÓMETRO DE ABRIL 1993: PREELECTORAL ELECCIONES GENERALES 1993 (II)
2050;1993;15/03/1993;BARÓMETRO DE MARZO 1993
2048;1993;08/02/1993;BARÓMETRO DE FEBRERO 1993: SITUACIÓN SOCIAL Y POLÍTICA EN ESPAÑA
2046;1993;01/02/1993;BARÓMETRO DE FEBRERO 1993: DESIGUALDAD
2045;1993;14/01/1993;BARÓMETRO DE ENERO 1993: EXPECTATIVAS
2044;1992;15/12/1992;BARÓMETRO DE DICIEMBRE 1992
2042;1992;01/11/1992;BARÓMETRO DE NOVIEMBRE 1992
2023;1992;09/10/1992;BARÓMETRO DE OCTUBRE 1992
2018;1992;08/09/1992;BARÓMETRO DE SEPTIEMBRE 1992
2016;1992;09/07/1992;BARÓMETRO DE JULIO 1992
2013;1992;16/06/1992;BARÓMETRO DE JUNIO 1992
2007;1992;05/05/1992;BARÓMETRO DE MAYO 1992
2002;1992;24/04/1992;BARÓMETRO DE ABRIL 1992
1996;1992;07/03/1992;BARÓMETRO DE MARZO 1992: ABORTO
1993;1992;27/02/1992;BARÓMETRO DE FEBRERO 1992
1989;1992;29/01/1992;BARÓMETRO DE ENERO 1992
1984;1991;01/12/1991;BARÓMETRO DE DICIEMBRE 1991
1980;1991;22/11/1991;BARÓMETRO DE NOVIEMBRE 1991
1979;1991;19/10/1991;BARÓMETRO DE OCTUBRE 1991
1977;1991;18/09/1991;BARÓMETRO DE SEPTIEMBRE 1991
1972;1991;01/07/1991;BARÓMETRO DE JULIO 1991
1970;1991;01/06/1991;BARÓMETRO DE JUNIO 1991
1966;1991;22/05/1991;BARÓMETRO DE MAYO 1991
1962;1991;17/04/1991;BARÓMETRO DE ABRIL 1991
1913;1991;21/01/1991;BARÓMETRO DE ENERO 1991: CONFLICTO ARMADO EN ORIENTE MEDIO (I)
1910;1990;18/12/1990;BARÓMETRO DE DICIEMBRE 1990
1906;1990;22/11/1990;BARÓMETRO DE NOVIEMBRE 1990: XXXII CONGRESO DEL PSOE
1901;1990;18/10/1990;BARÓMETRO DE OCTUBRE 1990
1883;1990;18/09/1990;BARÓMETRO DE SEPTIEMBRE 1990
1881;1990;12/07/1990;BARÓMETRO DE JULIO 1990
1876;1990;21/06/1990;BARÓMETRO DE JUNIO 1990
1871;1990;17/05/1990;BARÓMETRO DE MAYO 1990
1870;1990;01/04/1990;BARÓMETRO DE ABRIL 1990
1864;1990;26/03/1990;BARÓMETRO DE MARZO 1990
1860;1990;19/02/1990;BARÓMETRO DE FEBRERO 1990
1858;1990;19/01/1990;BARÓMETRO DE ENERO 1990
1850;1989;14/12/1989;BARÓMETRO DE DICIEMBRE 1989: INVESTIDURA DEL PRESIDENTE DEL GOBIERNO D. FELIPE GONZÁLEZ (II)
1845;1989;18/11/1989;BARÓMETRO DE NOVIEMBRE 1989
1839;1989;16/09/1989;BARÓMETRO DE SEPTIEMBRE 1989
1819;1989;15/07/1989;BARÓMETRO DE JULIO 1989
1816;1989;17/06/1989;BARÓMETRO DE JUNIO 1989
